"Wining Team","Losing Team","Wining Score","Losing Score"
"Alabama","Kennesaw",77,64
"Alabama A&M","Tulane",68,67
"Arizona","Pacific",79,61
"Ark Pine Bluff","Seattle",58,56
"Arkansas","Southern Univ",86,68
"Auburn","UAB",75,74
"Baylor","SF Austin",97,55
"Belmont","Marquette",83,80
"Bradley","Ball St",54,53
"BYU","Utah Valley",85,54
"C Michigan","Jacksonville St",89,83
"California","Rice",97,65
"Chattanooga","Georgia",92,90
"Cincinnati","W Carolina",97,72
"Clemson","NC Central",74,40
"Col Charleston","S Carolina St",74,54
"Colgate","George Mason",66,53
"Connecticut","Maine",100,56
"CS Sacramento","Arizona St",66,63
"Dayton","SE Missouri St",84,53
"Delaware","Delaware St",62,56
"Duke","Siena",92,74
"E Kentucky","Coppin St",107,80
"E Michigan","Vermont",70,50
"East Carolina","Grambling",61,53
"Edwardsville","Arkansas St",79,70
"Elon","Charlotte",85,74
"Florida","Navy",59,41
"Fresno St","Pepperdine",69,66
"Furman","Presbyterian",63,53
"G Washington","Lafayette",85,76
"Georgia Tech","Cornell",116,81
"Grand Canyon","Portland St",82,72
"Hartford","Central Conn",92,83
"Hawaii","Montana St",87,76
"Hofstra","Canisius",96,85
"Holy Cross","Marist",67,64
"Indiana","E Illinois",88,49
"Iowa","Gardner Webb",76,59
"Iowa St","Colorado",68,62
"IUPUI","Indiana St",72,70
"James Madison","Richmond",87,75
"Kansas","N Colorado",109,72
"Kansas St","MD E Shore",80,53
"Kentucky","Albany NY",78,65
"Lipscomb","Santa Clara",65,63
"Louisville","Samford",86,45
"Loy Marymount","CS Fullerton",79,74
"Loyola-Chicago","UT San Antonio",76,64
"LSU","McNeese St",81,70
"Maryland","Mt St Mary's",80,56
"Miami FL","UTRGV",86,59
"Michigan St","FL Atlantic",82,55
"Minnesota","Missouri KC",76,58
"Mississippi","Northwestern LA",90,76
"Mississippi St","E Washington",106,88
"Missouri","Wofford",83,74
"Monmouth NJ","UCLA",84,81
"Montana","Boise St",74,72
"N Dakota St","UC Davis",79,71
"N Illinois","CS Northridge",83,71
"Nevada","Coastal Car",73,56
"New Mexico","TX Southern",86,57
"New Mexico St","Houston Bap",91,69
"North Carolina","Temple",91,67
"North Florida","Illinois",93,81
"Northeastern","Boston Univ",87,84
"Northwestern","MA Lowell",79,57
"Notre Dame","St Francis PA",87,56
"Oklahoma St","TN Martin",91,57
"Old Dominion","Niagara",67,50
"Oral Roberts","Missouri St",80,65
"Oregon","Jackson St",80,52
"Penn","Robert Morris",76,75
"Princeton","Rider",64,56
"Purdue","NC A&T",81,40
"Rhode Island","American Univ",65,42
"S Illinois","Air Force",77,75
"Sacred Heart","Quinnipiac",76,64
"San Diego St","Illinois St",71,60
"San Francisco","IL Chicago",78,75
"Santa Barbara","NE Omaha",60,59
"Seton Hall","Dartmouth",84,67
"St Bonaventure","Binghamton",63,53
"St John's","Wagner",66,57
"St Joseph's PA","Drexel",82,81
"St Peter's","Brown",77,65
